Region,Rank,Tier,Fit /100,Business,Category,Segment,Locality,City,Phone,Rating,Reviews,Package,List price,Deal value (₹),Best call window (IST),Pitch angle,Intent,Volume,Rating pts,Reach,Maps URL
Chandigarh Tricity,1,A,95,Skyline Estates,Real estate consultant,Retail & Services,Ubber Mews Kharar,Mohali (SAS Nagar),098779 62254,4.9,1023,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-16:00,"Services, coverage area and a callback form so enquiries stop dying in missed calls.",36,30,19,10,https://www.google.com/maps/search/?api=1&query=Skyline%20Estates%20Ubber%20Mews%20Kharar
Chandigarh Tricity,2,A,95,SmileKraft,Dental clinic,Health & Wellness,NK Sharma Road Zirakpur,Zirakpur / Dera Bassi,087288 67416,5,787,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,29,20,10,https://www.google.com/maps/search/?api=1&query=SmileKraft%20NK%20Sharma%20Road%20Zirakpur
Chandigarh Tricity,3,A,94,Baweja Caterers,Caterer,Food & Events,Mohali,Mohali (SAS Nagar),098151 67722,5,1525,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-16:00,Menu and package pages plus a date-availability enquiry form. Enquiries die in WhatsApp with no record today.,34,30,20,10,https://www.google.com/maps/search/?api=1&query=Baweja%20Caterers%20Mohali
Chandigarh Tricity,4,A,94,Den Star Dental Clinic,Dental clinic,Health & Wellness,Panchkula,Panchkula,076965 15896,4.9,845,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,29,19,10,https://www.google.com/maps/search/?api=1&query=Den%20Star%20Dental%20Clinic%20Panchkula
Chandigarh Tricity,5,A,93,Bhandari dental and medical Clinic,Dental clinic,Health & Wellness,Panchkula,Panchkula,097795 32893,4.9,745,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,29,19,10,https://www.google.com/maps/search/?api=1&query=Bhandari%20dental%20and%20medical%20Clinic%20Panchkula
Chandigarh Tricity,6,A,92,Navigant Immigration,Visa agent,Professional Services,Panchkula,Panchkula,080544 49797,5,253,Custom,"₹1,20,000+",120000,Tue-Thu 11:30-13:00 / 15:00-17:00,"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",38,24,20,10,https://www.google.com/maps/search/?api=1&query=Navigant%20Immigration%20Panchkula
Chandigarh Tricity,7,A,92,CA Prabhraj Singh Rajpal,Chartered accountant,Professional Services,Mohali,Mohali (SAS Nagar),097806 84690,4.9,220,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,23,19,10,https://www.google.com/maps/search/?api=1&query=CA%20Prabhraj%20Singh%20Rajpal%20Mohali
Chandigarh Tricity,8,A,91,Parminder Dental Clinic,Dental clinic,Health & Wellness,Kharar-Landran Road,Mohali (SAS Nagar),099149 85664,4.8,610,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-13:00 / 16:00-19:00,"Practitioner credentials, treatments and online booking. Patients search the area before they phone.",36,28,17,10,https://www.google.com/maps/search/?api=1&query=Parminder%20Dental%20Clinic%20Kharar-Landran%20Road
Chandigarh Tricity,9,A,91,Decor 26,Interior designer,Home & Interiors,Desu Majra Kharar,Mohali (SAS Nagar),097812 72626,4.8,218,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 15:00-18:00,"A project gallery with before/after by room type, plus a budget-range enquiry form. Buyers judge on photos first.",40,23,17,10,https://www.google.com/maps/search/?api=1&query=Decor%2026%20Desu%20Majra%20Kharar
Chandigarh Tricity,10,A,90,Davinder Real Estate,Real estate consultant,Retail & Services,Kharar,Mohali (SAS Nagar),098765 55958,5,277,Custom,"₹1,20,000+",120000,Tue-Thu 11:00-16:00,"Services, coverage area and a callback form so enquiries stop dying in missed calls.",36,24,20,10,https://www.google.com/maps/search/?api=1&query=Davinder%20Real%20Estate%20Kharar
Chandigarh Tricity,11,A,90,M Parul & Co - chartered accountant,Chartered accountant,Professional Services,Jubilee Walk Mohali,Mohali (SAS Nagar),098031 03023,4.9,135,Growth,"₹45,000",45000,Tue-Thu 11:00-13:00 / 16:00-18:00 (not before 1 Oct),"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,21,19,10,https://www.google.com/maps/search/?api=1&query=M%20Parul%20%26%20Co%20-%20chartered%20accountant%20Jubilee%20Walk%20Mohali
Chandigarh Tricity,12,A,90,Kirpa Immigration Private Limited,Immigration consultant,Professional Services,Sector 34 Chandigarh,Chandigarh,095920 20304,4.9,124,Growth,"₹45,000",45000,Tue-Thu 11:30-13:00 / 15:00-17:00,"Services, registration credentials and a deadline-driven enquiry form. Clients verify a firm online before they call.",40,21,19,10,https://www.google.com/maps/search/?api=1&query=Kirpa%20Immigration%20Private%20Limited%20Sector%2034%20Chandigarh
